source,row_id,paper_id_dd,doi,overlap_flag,emission_nm,T_growth_C,time_min,FWHM_nm,QY_percent,PL_peak_nm_core,route,system_tag,shell_present_flag,data_quality_tier,measurement_state,caution_count,abs_nm,diameter_nm,in_source,in_amount_mmol,p_source,p_amount_mmol,ligand_source,ligand_amount_mmol,first_sol,second_sol,acid,acid_amount_mmol,total_volume_ml
cossairt,cos_raw_row_195,,10.1039/c8nr01286e,0,475,150,30,,,,,,,,,,416,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,9,octadecene,None,myristic acid,1.35,13.962
cossairt,cos_raw_row_196,,10.1039/c8nr01286e,0,501,150,30,,,,,,,,,,448,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,9,octadecene,None,myristic acid,1.35,13.962
cossairt,cos_raw_row_197,,10.1039/c8nr01286e,0,502,150,30,,,,,,,,,,439,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,9,octadecene,None,myristic acid,0.45,13.962
cossairt,cos_raw_row_198,,10.1039/c8nr01286e,0,502,150,30,,,,,,,,,,428,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,33,None,None,None,0,10.858
cossairt,cos_raw_row_199,,10.1039/c8nr01286e,0,507,180,30,,,,,,,,,,423,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,15,None,None,None,0,4.936
cossairt,cos_raw_row_200,,10.1039/c8nr01286e,0,531,180,30,,,,,,,,,,473,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,15,None,None,None,0,4.936
cossairt,cos_raw_row_201,,10.1039/c8nr01286e,0,538,150,30,,,,,,,,,,478,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,33,None,None,None,0,10.858
cossairt,cos_raw_row_202,,10.1039/c8nr01286e,0,551,150,30,,,,,,,,,,515,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,9,octadecene,None,myristic acid,0.45,13.962
cossairt,cos_raw_row_203,,10.1039/c8nr01286e,0,555,150,30,,,,,,,,,,508,None,indium chloride,0.45,tris(diethylamino)phosphine,1.6,oleylamine,9,octadecene,None,myristic acid,1.35,13.962
cossairt,cos_raw_row_204,,10.1002/jsid.308,0,560,230,30,,,,,,,,,,None,None,indium acetate,1,tris(trimethylsilyl)phosphine,1,dodecanethiol,0.5,octadecene,None,None,0,1.12
