doi,in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,None,0,7.6,270,5,None,571,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,5,None,500,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,5,None,510,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,5,None,500,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,5,None,496,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,None,0,7.6,270,15,None,574,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,15,None,540,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,15,None,531,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,None,0,7.6,270,15,None,580,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,15,None,539,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,15,None,509,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,None,0,7.6,270,30,None,574,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,30,None,548,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,30,None,538,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,None,0,7.6,270,30,None,580,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,30,None,549,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,30,None,518,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,None,0,7.6,270,120,None,592,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,None,575,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,None,550,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,None,550,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,None,551,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,None,0,7.6,270,180,None,538,None,6/25/2021,Hao
10.1038/s41586-019-1771-5,indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,22.42095008,palmitic acid,12,None,0,None,0,None,0,None,0,110,260,40,2.7,500,None,7/20/2021,Hao
10.1038/s41586-019-1771-5,indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,22.42095008,palmitic acid,12,None,0,None,0,None,0,None,0,110,260,1,None,465,None,7/20/2021,Hao
10.1038/s41586-019-1771-5,indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,22.42095008,palmitic acid,12,None,0,None,0,None,0,None,0,110,260,20,None,495,None,7/20/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,240,13,None,620,None,7/31/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,240,5,None,570,None,8/1/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,240,20,None,590,610,8/2/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,200,15,None,548,None,8/3/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,220,15,None,570,None,8/3/2021,Hao
10.1039/c1jm13982g,indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,15,260,15,None,600,None,8/3/2021,Hao
10.1039/c9nr06847c,indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,2.242095008,lauric acid,1.8,None,0,None,0,zinc oleate,1.2,None,0,11,240,60,2,430,477,7/20/2021,Hao
10.1063/1.4745844,indium acetate,0.08,tris(trimethylsilyl)phosphine,0.08,octadecene,7,None,0,myristic acid,0.26,octylamine,0.38,None,0,None,0,None,0,7.063,200,30,2.1,460,590,7/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,130,1,None,419,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,150,1,None,431,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,170,1,None,446,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,170,30,None,468,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,150,30,None,432,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,None,0,6.699,130,30,None,412,None,6/25/2021,Hao
10.1109/CLEO.2006.4628249,indium acetate,1,tris(trimethylsilyl)phosphine,0.499,octadecene,75,None,0,myristic acid,3,None,0,None,0,None,0,None,0,75,270,180,4,585,630,6/25/2021,Hao
10.1134/S0036023618040071,indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,230,15,4.5,623,None,8/3/2021,Hao
10.1364/OME.4.001436,indium acetate,1,tris(trimethylsilyl)phosphine,1,None,0,None,0,None,0,None,0,dodecanethiol,0.5,zinc stearate,2,None,0,0.12,300,30,None,480,539,7/25/2021,Hao
10.3389/fchem.2018.00567,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.4,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,None,0,3.494,178,4,1.5,445,568,7/6/2021,Hao
10.3389/fchem.2018.00567,indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,None,0,3.494,178,32,2.5,543,589,7/6/2021,Hao
10.3389/fchem.2018.00567,indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,dioctylamine,0.5,None,0,None,0,None,0,3.151,178,840,6.7,622,680,7/6/2021,Hao
10.3762/bjnano.5.135,indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,260,15,4.5,660,None,8/3/2021,Hao
10.1021/5b02138,indium bromide,0.45,tris(diethylamino)phosphine,1.62,None,0,None,0,None,0,oleylamine,15,None,0,zinc chloride,2.2,None,0,4.936,180,30,3,562,None,6/26/2021,Hao
10.1002/adma.200800724,indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,3,None,0,stearic acid,0.1,hexadecylamine,0.2,None,0,zinc undecylenate,0.08,None,0,3.052,240,20,None,570,630,7/29/2021,Hao
10.1002/adom.201901362,indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,trioctylphosphine,11.21047504,None,0,None,0,None,0,zinc oleate,2,None,0,5,280,60,2.3,423,485,7/23/2021,Hao
10.1002/adom.202100427,indium chloride,1.8,tris(dimethylamino)phosphine,3.84,None,0,trioctylphosphine,2.914723511,None,0,oleylamine,12,None,0,zinc chloride,4.4,None,0,5.249,180,2,2.2,444,None,7/6/2021,Hao
10.1002/cctc.202000616,indium chloride,0.45,tris(diethylamino)phosphine,1.6,toluene,3,None,0,None,0,oleylamine,15.19,None,0,zinc chloride,2.2,None,0,7.998,180,30,None,575,None,7/23/2021,Hao
